Reference Image,Closest Hash Distance,Confidence
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Game King\616 Game King\616-game-king-gallery-02.jpg,14,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Game King\616 Game King\616-game-king-gallery-03.jpg,12,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Game King\616 Game King\616-game-king-gallery-04.jpg,16,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Game King\616 Game King\616-game-king-gallery-05.jpg,12,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Game King\616 Game King\616-game-king-gallery-06.jpg,12,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Game King\616 Game King\616-game-king-gallery-07.jpg,14,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Game King\616 Game King\616-game-king-hero.jpg,14,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Game King\646 Game King\646-game-king-gallery-02.jpg,12,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Game King\646 Game King\646-game-king-gallery-04.jpg,16,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Game King\646 Game King\646-game-king-gallery-05.jpg,12,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Game King\646 Game King\646-game-king-gallery-06.jpg,14,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Game King\646 Game King\646-game-king-gallery-07.jpg,16,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Game King\696 Game King\696-game-king-card.jpg,16,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Game King\696 Game King\696-game-king-gallery-01.jpg,16,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Game King\696 Game King\696-game-king-gallery-02.jpg,16,No Match
